,Property_id,Property_name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,1419,Beautiful home in amazing area!,1565,Alexandra,Little Portugal,Entire home/apt,469,4,7,4/12/2017,0.11,1,0
1,8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,Waterfront Communities-The Island,Private room,99,180,169,27/08/2013,1.25,2,365
3,23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,Briar Hill-Belgravia,Private room,70,1,217,22/12/2019,1.73,2,209
4,26654,World Class downtown @CN Tower Theatre MTCC games!,113345,Adela,Waterfront Communities-The Island,Entire home/apt,135,21,40,20/03/2020,0.34,5,216
5,27423,Executive Studio Unit- Ideal for One Person,118124,Brent,Greenwood-Coxwell,Entire home/apt,54,120,26,30/08/2011,0.21,1,0
6,28160,"Luxury, Safety, Affordability For Women Travelers!",86838,Rita,Mount Pleasant West,Entire home/apt,53,120,7,17/10/2018,0.12,1,358
7,30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,Waterfront Communities-The Island,Entire home/apt,132,180,1,11/08/2010,0.01,2,365
8,40456,Downtown 2  Bdr.Apt with King Size Bed and Parking,174063,Denis,South Parkdale,Entire home/apt,100,28,110,25/03/2020,0.89,5,345
9,41887,Great location,183071,Kyle,Oakridge,Entire home/apt,75,2,82,2/09/2019,1.78,2,319
11,43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,Wexford/Maryvale,Private room,93,2,30,5/08/2019,0.67,1,335
12,44452,Yonge & Bloor Studio Skyline,195095,Urbano,Rosedale-Moore Park,Entire home/apt,106,1,54,2/09/2020,0.45,11,365
13,45399,Fountain View Studio - Eaton center,195095,Urbano,Church-Yonge Corridor,Entire home/apt,120,1,78,7/11/2019,0.65,11,343
15,45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,Rosedale-Moore Park,Private room,86,1,18,1/06/2019,0.15,11,344
16,50110,Yorkville one bedroom Condo,195095,Urbano,Church-Yonge Corridor,Entire home/apt,141,2,56,8/02/2020,0.47,11,252
18,62545,Furnished Heritage Rooms Downtown 1,304551,Kintoo,Niagara,Private room,65,30,23,20/12/2019,0.19,4,365
19,64641,Furnished Heritage Rooms Downtown,304551,Kintoo,Niagara,Private room,65,30,16,4/08/2019,0.14,4,317
20,64645,Furnished Heritage Suite Downtown,304551,Kintoo,Niagara,Private room,85,30,11,31/08/2018,0.1,4,348
21,65238,Zen South Facing Bedroom in Quiet Art-Filled Home,318911,Magali,Palmerston-Little Italy,Private room,79,2,68,20/03/2020,0.6,2,364
22,69464,Yonge & Bloor one bedroom Condo,195095,Urbano,Rosedale-Moore Park,Entire home/apt,150,1,55,30/08/2020,0.47,11,221
23,75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,Dufferin Grove,Entire home/apt,149,6,273,26/01/2020,2.37,2,0
24,82694,Luxury Hotel Downtown Living !!,431260,Caterina,Niagara,Entire home/apt,108,30,29,23/09/2016,0.25,1,362
25,84076,A short walk to TIFF,544254,Darryl,Niagara,Entire home/apt,120,3,6,20/08/2018,0.07,1,0
26,84151,North City View Yonge/Bloor,195095,Urbano,Church-Yonge Corridor,Entire home/apt,125,1,24,2/07/2017,0.22,11,328
27,89575,Private bedroom close to downtown,93825,Yohan & Sarah,Briar Hill-Belgravia,Private room,67,1,88,24/10/2019,0.82,2,209
28,96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,Niagara,Entire home/apt,202,3,122,29/12/2019,1.46,1,332
29,104096,Hip and modern family-friendly home,349172,Avery,South Riverdale,Entire home/apt,175,5,18,3/08/2019,0.16,1,252
30,104722,Annex apartment - with great deck!,455397,Carly,Annex,Entire home/apt,160,2,6,8/10/2018,0.1,1,0
31,112842,Gorgeous Condo near High Park!!,575127,Micheline,High Park North,Entire home/apt,65,180,12,5/03/2017,0.11,1,365
